group,seed,complete,r2_first,r2_crossing,r1_crossing,reward_accuracy,reward_brier,test_nll,transfer_all_three
plain_continuation,248,True,True,61.58397503493811,256.0598487526827,1.0,1.232595164407831e-32,0.027653677380145368,True
plain_continuation,249,True,True,70.05790072641176,138.22221466336123,1.0,8.011868568650901e-33,0.02888756308892805,True
plain_continuation,250,True,True,62.45337347569865,336.9962078249481,1.0,0.0,0.027692177348567232,True
plain_continuation,251,False,,,264.2274872250005,0.75,0.12625000000000003,0.05440700716171833,False
plain_continuation,252,True,True,82.79107598481353,179.54594018708363,1.0,3.0814879110195774e-33,0.027618067990309293,True
plain_continuation,253,True,True,79.35985767379968,220.20462266671777,1.0,0.0,0.034945133893166246,True
plain_continuation,254,False,,,190.12600736190296,0.75,0.125,0.05516456061346989,False
plain_continuation,255,True,True,90.90289228365434,167.6142850845521,1.0,1.1709654061874393e-32,0.032212192272003295,True
plain_continuation,256,True,True,151.7472449156598,602.5066976164344,1.0,0.0,0.027553802745812345,True
plain_continuation,257,True,True,93.95247483011822,210.28643101745973,1.0,4.6992690643048555e-32,0.028760389545476533,True
plain_continuation,258,True,True,50.16562304551125,818.3333657344697,1.0,0.0,0.028040091437415347,True
plain_continuation,259,True,True,49.50051026333007,128.446199398597,1.0,3.0814879110195774e-33,0.027692501214146934,True
plain_continuation,260,True,True,62.05376774230488,203.4967738663409,1.0,3.697785493223493e-33,0.027733779397914906,True
plain_continuation,261,True,True,86.97028380356544,216.540310975212,1.0,0.0,0.028867783326017367,True
plain_continuation,262,False,,,268.25549559715574,0.75,0.13000000000000003,0.056715455709400855,False
plain_continuation,263,True,True,44.08351250125362,308.7975171616189,1.0,3.0814879110195774e-32,0.028004445467163422,True
path_repair,248,True,True,61.58397503493811,256.0598487526827,1.0,1.232595164407831e-32,0.027653677380145368,True
path_repair,249,True,True,70.05790072641176,138.22221466336123,1.0,8.011868568650901e-33,0.02888756308892805,True
path_repair,250,True,True,62.45337347569865,336.9962078249481,1.0,0.0,0.027692177348567232,True
path_repair,251,True,False,1039.6957857169398,264.2274872250005,1.0,3.0814879110195774e-33,0.027887530126175838,True
path_repair,252,True,True,82.79107598481353,179.54594018708363,1.0,3.0814879110195774e-33,0.027618067990309293,True
path_repair,253,True,True,79.35985767379968,220.20462266671777,1.0,0.0,0.034945133893166246,True
path_repair,254,True,False,1039.686600894324,190.12600736190296,1.0,3.0814879110195774e-33,0.02851466095649896,True
path_repair,255,True,True,90.90289228365434,167.6142850845521,1.0,1.1709654061874393e-32,0.032212192272003295,True
path_repair,256,True,True,151.7472449156598,602.5066976164344,1.0,0.0,0.027553802745812345,True
path_repair,257,True,True,93.95247483011822,210.28643101745973,1.0,4.6992690643048555e-32,0.028760389545476533,True
path_repair,258,True,True,50.16562304551125,818.3333657344697,1.0,0.0,0.028040091437415347,True
path_repair,259,True,True,49.50051026333007,128.446199398597,1.0,3.0814879110195774e-33,0.027692501214146934,True
path_repair,260,True,True,62.05376774230488,203.4967738663409,1.0,3.697785493223493e-33,0.027733779397914906,True
path_repair,261,True,True,86.97028380356544,216.540310975212,1.0,0.0,0.028867783326017367,True
path_repair,262,True,False,1039.6878578925605,268.25549559715574,1.0,6.162975822039155e-33,0.029006026960304993,True
path_repair,263,True,True,44.08351250125362,308.7975171616189,1.0,3.0814879110195774e-32,0.028004445467163422,True
