role	record_id	file	bytes	checksum_type	checksum	download_url	license	local_path
metadata	17091226	record_17091226.json	NA	NA	NA	https://zenodo.org/api/records/17091226	CC-BY-4.0	data/external/track2p_zenodo_17091226/record_17091226.json
documentation	17091226	README.md	3593	md5	b35e0de270edd47a3049a20b11f3d88	https://zenodo.org/api/records/17091226/files/README.md/content	CC-BY-4.0	data/external/track2p_zenodo_17091226/README.md
documentation	17091226	load_data.ipynb	1946506	md5	b8c0356df7ce033e94a975576a7e9ce1	https://zenodo.org/api/records/17091226/files/load_data.ipynb/content	CC-BY-4.0	data/external/track2p_zenodo_17091226/load_data.ipynb
source	17091226	data.zip	9863306433	md5	8d12ff6b93a26e28609c5a20b11f3d88	https://zenodo.org/api/records/17091226/files/data.zip/content	CC-BY-4.0	data/external/track2p_zenodo_17091226/data.zip
